report_id,date,site,location,report_type,activity,report_text,sif_potential,sif_confidence,life_saving_rule,precursor,hazard,barrier,barrier_failure,priority
SYN-0121,2025-08-18,Digboi,Bongaigaon — Tank Farm,Safety Observation,Energy Isolation — pump maintenance,"During valve replacement while preparing the job, missing zero-energy test. Residual pressure remained in the line. The condition created a credible potential for a fatal or permanently disabling event. The line was depressurized before work resumed.",Yes,0.848,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,missing zero-energy test,High
SYN-0122,2025-09-29,Geleki,Geleki — Main Gate,Hazard Report,Lifting Operations — loading a valve assembly,"During lifting a pump motor while preparing the job, personnel entered the suspended-load zone. A sling strand began to separate. The condition created a credible potential for a fatal or permanently disabling event. The banksman stopped the lift immediately.",Yes,0.827,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,sling inspection was overdue,High
SYN-0123,2024-11-18,Digboi,Digboi — Main Gate,Near Miss,Confined Space — entry into a sump,"During cleaning a storage tank after a change in the work sequence, continuous gas monitoring was unavailable. The attendant lost radio contact with the entrant. The condition created a credible potential for a fatal or permanently disabling event. Ventilation was increased and the permit was reviewed.",Yes,0.849,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,continuous gas monitoring was unavailable,High
SYN-0124,2024-03-22,Digboi,Naharkatiya — Tank Farm,Near Miss,Driving / Vehicle Safety — reversing a service vehicle,"During transporting equipment on an access road during a routine maintenance task, reversing alarm was not working. A load shifted during transit. The deviation was identified early, before anyone was exposed to serious harm. The journey was restarted only after the load was secured.",No,0.768,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,journey plan was not reviewed,Medium
SYN-0125,2024-10-13,Geleki,Digboi — Process Unit,Safety Observation,Lifting Operations — lifting a pump motor,"During loading a valve assembly during the morning shift, personnel entered the suspended-load zone. A sling strand began to separate. The deviation was identified early, before anyone was exposed to serious harm. The load was lowered to a safe position.",No,0.772,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,sling inspection was overdue,Low
SYN-0126,2025-09-04,Duliajan,Bongaigaon — Process Unit,Hazard Report,Driving / Vehicle Safety — driving between installations,"During driving between installations during a routine maintenance task, reversing alarm was not working. A load shifted during transit. The deviation was identified early, before anyone was exposed to serious harm. The journey was restarted only after the load was secured.",No,0.843,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,reversing alarm was not working,Medium
SYN-0127,2025-10-06,Duliajan,Digboi — Process Unit,Safety Observation,Confined Space — inspection inside a vessel,"During entry into a sump during a routine maintenance task, entry permit was incomplete. A worker reported dizziness inside the vessel. The deviation was identified early, before anyone was exposed to serious harm. The standby rescue team secured the area.",No,0.798,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,continuous gas monitoring was unavailable,Low
SYN-0128,2025-04-09,Naharkatiya,Duliajan — Pipeline Corridor,Safety Observation,Hot Work — cutting a steel support,"During cutting a steel support while preparing the job, hot-work permit not displayed. Nearby oily rags began to smoulder. The deviation was identified early, before anyone was exposed to serious harm. A suitable fire extinguisher was positioned before restart.",No,0.905,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,hot-work permit not displayed,Medium
SYN-0129,2025-03-02,Naharkatiya,Duliajan — Main Gate,Hazard Report,Lifting Operations — relocating a chemical drum,"During relocating a chemical drum after a change in the work sequence, sling inspection was overdue. A sling strand began to separate. The deviation was identified early, before anyone was exposed to serious harm. The route was cleared and barricaded.",No,0.715,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,sling inspection was overdue,Medium
SYN-0130,2024-04-12,Bongaigaon,Naharkatiya — Tank Farm,Near Miss,Line of Fire — moving materials beside a pipe rack,"During handling a pressurized hose after a change in the work sequence, spotter communication was unclear. The flange shifted suddenly toward the worker. The deviation was identified early, before anyone was exposed to serious harm. The crew stepped back and reassessed the task.",No,0.89,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,exclusion zone was not maintained,Medium
SYN-0131,2024-12-23,Bongaigaon,Naharkatiya — Workshop,Near Miss,Confined Space — cleaning a storage tank,"During cleaning a storage tank during a routine maintenance task, continuous gas monitoring was unavailable. Oxygen readings fell below the safe limit. The deviation was identified early, before anyone was exposed to serious harm. The entrant exited immediately and medical support was alerted.",No,0.888,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,Medium
SYN-0132,2025-02-27,Bongaigaon,Digboi — Pipeline Corridor,Near Miss,Confined Space — inspection inside a vessel,"During inspection inside a vessel while preparing the job, entry permit was incomplete. Oxygen readings fell below the safe limit. The deviation was identified early, before anyone was exposed to serious harm. The standby rescue team secured the area.",No,0.782,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,Low
SYN-0133,2025-12-24,Naharkatiya,Bongaigaon — Workshop,Safety Observation,Lifting Operations — loading a valve assembly,"During loading a valve assembly while preparing the job, sling inspection was overdue. A sling strand began to separate. The condition created a credible potential for a fatal or permanently disabling event. The banksman stopped the lift immediately.",Yes,0.795,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,High
SYN-0134,2025-03-28,Digboi,Geleki — Process Unit,Safety Observation,Confined Space — cleaning a storage tank,"During cleaning a storage tank during a routine maintenance task, entry permit was incomplete. Oxygen readings fell below the safe limit. The condition created a credible potential for a fatal or permanently disabling event. The entrant exited immediately and medical support was alerted.",Yes,0.918,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,entry permit was incomplete,High
SYN-0135,2024-04-21,Naharkatiya,Geleki — Process Unit,Safety Observation,Lifting Operations — lifting a pump motor,"During loading a valve assembly during a routine maintenance task, sling inspection was overdue. A sling strand began to separate. The deviation was identified early, before anyone was exposed to serious harm. The banksman stopped the lift immediately.",No,0.814,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,Low
SYN-0136,2024-07-02,Digboi,Naharkatiya — Tank Farm,Safety Observation,Lifting Operations — loading a valve assembly,"During lifting a pump motor during the morning shift, sling inspection was overdue. A sling strand began to separate. The deviation was identified early, before anyone was exposed to serious harm. The banksman stopped the lift immediately.",No,0.815,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,Medium
SYN-0137,2024-11-16,Duliajan,Bongaigaon — Tank Farm,Hazard Report,Line of Fire — moving materials beside a pipe rack,"During moving materials beside a pipe rack during a routine maintenance task, exclusion zone was not maintained. The hose whipped when the coupling released. The deviation was identified early, before anyone was exposed to serious harm. The crew stepped back and reassessed the task.",No,0.724,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,stored energy was not assessed,Medium
SYN-0138,2025-06-19,Geleki,Duliajan — Pipeline Corridor,Safety Observation,Working at Height — accessing a tank roof,"During accessing a tank roof while preparing the job, harness was not attached to an anchor. The platform moved while being accessed. The deviation was identified early, before anyone was exposed to serious harm. The supervisor arranged a scaffold inspection.",No,0.785,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,toe board was not installed,Low
SYN-0139,2025-06-18,Geleki,Bongaigaon — Main Gate,Near Miss,Lifting Operations — relocating a chemical drum,"During loading a valve assembly during a routine maintenance task, lifting plan was not followed. A sling strand began to separate. The deviation was identified early, before anyone was exposed to serious harm. The banksman stopped the lift immediately.",No,0.766,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,lifting plan was not followed,Low
SYN-0140,2025-02-26,Geleki,Geleki — Workshop,Near Miss,Hot Work — cutting a steel support,"During grinding near the workshop during the morning shift, hot-work permit not displayed. Nearby oily rags began to smoulder. The deviation was identified early, before anyone was exposed to serious harm. The fire watch raised the alarm and work was stopped.",No,0.912,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,combustibles not cleared from the work area,Low
SYN-0141,2025-05-24,Naharkatiya,Duliajan — Main Gate,Hazard Report,Driving / Vehicle Safety — driving between installations,"During driving between installations after a change in the work sequence, seat belt was not used. The vehicle nearly struck a pedestrian at the gate. The deviation was identified early, before anyone was exposed to serious harm. The vehicle was removed from service for inspection.",No,0.811,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,reversing alarm was not working,Medium
SYN-0142,2025-05-14,Digboi,Digboi — Tank Farm,Near Miss,Energy Isolation — compressor servicing,"During compressor servicing while preparing the job, missing zero-energy test. The pump unexpectedly started. The condition created a credible potential for a fatal or permanently disabling event. The technician stopped work and isolated the equipment.",Yes,0.934,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,lockout/tagout not verified,High
SYN-0143,2025-07-12,Naharkatiya,Geleki — Pipeline Corridor,Hazard Report,Confined Space — cleaning a storage tank,"During entry into a sump during a routine maintenance task, rescue plan was not briefed. Oxygen readings fell below the safe limit. The condition created a credible potential for a fatal or permanently disabling event. Ventilation was increased and the permit was reviewed.",Yes,0.806,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,continuous gas monitoring was unavailable,High
SYN-0144,2024-01-24,Bongaigaon,Naharkatiya — Pipeline Corridor,Near Miss,Lifting Operations — lifting a pump motor,"During loading a valve assembly while preparing the job, lifting plan was not followed. The load passed over an occupied walkway. The deviation was identified early, before anyone was exposed to serious harm. The banksman stopped the lift immediately.",No,0.721,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,Medium
SYN-0145,2025-04-24,Duliajan,Bongaigaon — Workshop,Near Miss,Hot Work — grinding near the workshop,"During grinding near the workshop while preparing the job, gas test not repeated. Sparks travelled toward an open drain. The condition created a credible potential for a fatal or permanently disabling event. The area was made safe and retested.",Yes,0.889,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,hot-work permit not displayed,High
SYN-0146,2024-10-01,Geleki,Digboi — Tank Farm,Safety Observation,Hot Work — welding on a process pipe,"During cutting a steel support after a change in the work sequence, hot-work permit not displayed. Nearby oily rags began to smoulder. The deviation was identified early, before anyone was exposed to serious harm. The area was made safe and retested.",No,0.837,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,hot-work permit not displayed,Low
SYN-0147,2025-04-23,Digboi,Geleki — Main Gate,Hazard Report,Energy Isolation — compressor servicing,"During pump maintenance during the morning shift, incorrect isolation point. A valve was still connected to the live header. The condition created a credible potential for a fatal or permanently disabling event. The technician stopped work and isolated the equipment.",Yes,0.795,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,lockout/tagout not verified,High
SYN-0148,2025-01-07,Naharkatiya,Geleki — Pipeline Corridor,Hazard Report,Driving / Vehicle Safety — reversing a service vehicle,"During reversing a service vehicle after a change in the work sequence, reversing alarm was not working. The driver lost control on a wet bend. The condition created a credible potential for a fatal or permanently disabling event. The driver stopped and reported the near miss.",Yes,0.839,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,seat belt was not used,High
SYN-0149,2024-04-11,Naharkatiya,Naharkatiya — Process Unit,Hazard Report,Energy Isolation — valve replacement,"During compressor servicing during the morning shift, missing zero-energy test. A valve was still connected to the live header. The condition created a credible potential for a fatal or permanently disabling event. The technician stopped work and isolated the equipment.",Yes,0.816,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,lockout/tagout not verified,High
SYN-0150,2025-11-23,Duliajan,Naharkatiya — Workshop,Safety Observation,Lifting Operations — loading a valve assembly,"During lifting a pump motor after a change in the work sequence, sling inspection was overdue. A sling strand began to separate. The deviation was identified early, before anyone was exposed to serious harm. The banksman stopped the lift immediately.",No,0.707,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,Low
SYN-0151,2025-02-23,Duliajan,Digboi — Main Gate,Near Miss,Line of Fire — loosening a seized flange,"During handling a pressurized hose after a change in the work sequence, stored energy was not assessed. A suspended load swung across the access route. The deviation was identified early, before anyone was exposed to serious harm. The area was barricaded before continuing.",No,0.71,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,exclusion zone was not maintained,Low
SYN-0152,2024-11-08,Geleki,Geleki — Process Unit,Hazard Report,Working at Height — installing cable tray at height,"During accessing a tank roof while preparing the job, harness was not attached to an anchor. A tool fell to the level below. The deviation was identified early, before anyone was exposed to serious harm. The dropped-object zone was cleared.",No,0.8,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,toe board was not installed,Medium
SYN-0153,2024-09-22,Digboi,Duliajan — Process Unit,Near Miss,Lifting Operations — relocating a chemical drum,"During relocating a chemical drum during the morning shift, lifting plan was not followed. The load tilted unexpectedly above the work crew. The deviation was identified early, before anyone was exposed to serious harm. The load was lowered to a safe position.",No,0.86,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,lifting plan was not followed,Low
SYN-0154,2025-09-01,Naharkatiya,Digboi — Tank Farm,Safety Observation,Driving / Vehicle Safety — reversing a service vehicle,"During reversing a service vehicle during a routine maintenance task, seat belt was not used. The vehicle nearly struck a pedestrian at the gate. The deviation was identified early, before anyone was exposed to serious harm. The journey was restarted only after the load was secured.",No,0.846,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,reversing alarm was not working,Medium
SYN-0155,2025-02-12,Geleki,Geleki — Process Unit,Safety Observation,Hot Work — welding on a process pipe,"During welding on a process pipe during a routine maintenance task, combustibles not cleared from the work area. Sparks travelled toward an open drain. The condition created a credible potential for a fatal or permanently disabling event. The area was made safe and retested.",Yes,0.796,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,hot-work permit not displayed,High
SYN-0156,2025-06-12,Digboi,Digboi — Tank Farm,Safety Observation,Energy Isolation — compressor servicing,"During compressor servicing during the morning shift, lockout/tagout not verified. Residual pressure remained in the line. The condition created a credible potential for a fatal or permanently disabling event. The technician stopped work and isolated the equipment.",Yes,0.938,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,incorrect isolation point,High
SYN-0157,2025-04-07,Naharkatiya,Naharkatiya — Workshop,Hazard Report,Line of Fire — loosening a seized flange,"During handling a pressurized hose during the morning shift, stored energy was not assessed. The flange shifted suddenly toward the worker. The deviation was identified early, before anyone was exposed to serious harm. The crew stepped back and reassessed the task.",No,0.909,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,exclusion zone was not maintained,Low
SYN-0158,2025-12-17,Geleki,Bongaigaon — Workshop,Safety Observation,Confined Space — cleaning a storage tank,"During entry into a sump during the morning shift, continuous gas monitoring was unavailable. The attendant lost radio contact with the entrant. The condition created a credible potential for a fatal or permanently disabling event. Ventilation was increased and the permit was reviewed.",Yes,0.803,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,High
SYN-0159,2025-02-10,Bongaigaon,Duliajan — Tank Farm,Hazard Report,Line of Fire — handling a pressurized hose,"During moving materials beside a pipe rack after a change in the work sequence, exclusion zone was not maintained. The flange shifted suddenly toward the worker. The deviation was identified early, before anyone was exposed to serious harm. The area was barricaded before continuing.",No,0.933,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,Low
SYN-0160,2024-08-05,Digboi,Digboi — Workshop,Near Miss,Driving / Vehicle Safety — driving between installations,"During driving between installations during the morning shift, reversing alarm was not working. The driver lost control on a wet bend. The deviation was identified early, before anyone was exposed to serious harm. The driver stopped and reported the near miss.",No,0.794,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,journey plan was not reviewed,Low
SYN-0161,2024-02-01,Geleki,Geleki — Workshop,Safety Observation,Energy Isolation — pump maintenance,"During compressor servicing during the morning shift, lockout/tagout not verified. Residual pressure remained in the line. The condition created a credible potential for a fatal or permanently disabling event. The supervisor initiated a toolbox talk.",Yes,0.92,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,incorrect isolation point,High
SYN-0162,2024-01-03,Naharkatiya,Geleki — Main Gate,Hazard Report,Working at Height — repairing an elevated platform,"During repairing an elevated platform during the morning shift, harness was not attached to an anchor. The platform moved while being accessed. The deviation was identified early, before anyone was exposed to serious harm. The dropped-object zone was cleared.",No,0.932,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,harness was not attached to an anchor,Medium
SYN-0163,2025-10-01,Bongaigaon,Bongaigaon — Tank Farm,Safety Observation,Line of Fire — handling a pressurized hose,"During loosening a seized flange during a routine maintenance task, spotter communication was unclear. A suspended load swung across the access route. The condition created a credible potential for a fatal or permanently disabling event. The crew stepped back and reassessed the task.",Yes,0.81,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,High
SYN-0164,2024-02-28,Bongaigaon,Geleki — Main Gate,Safety Observation,Lifting Operations — loading a valve assembly,"During relocating a chemical drum during the morning shift, lifting plan was not followed. The load passed over an occupied walkway. The deviation was identified early, before anyone was exposed to serious harm. The banksman stopped the lift immediately.",No,0.72,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,lifting plan was not followed,Medium
SYN-0165,2024-05-23,Bongaigaon,Digboi — Main Gate,Safety Observation,Line of Fire — handling a pressurized hose,"During moving materials beside a pipe rack during the morning shift, spotter communication was unclear. A suspended load swung across the access route. The deviation was identified early, before anyone was exposed to serious harm. The area was barricaded before continuing.",No,0.863,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,stored energy was not assessed,Medium
SYN-0166,2024-07-12,Duliajan,Bongaigaon — Pipeline Corridor,Near Miss,Line of Fire — moving materials beside a pipe rack,"During moving materials beside a pipe rack while preparing the job, exclusion zone was not maintained. A suspended load swung across the access route. The condition created a credible potential for a fatal or permanently disabling event. The area was barricaded before continuing.",Yes,0.799,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,High
SYN-0167,2025-04-18,Duliajan,Digboi — Workshop,Safety Observation,Driving / Vehicle Safety — reversing a service vehicle,"During reversing a service vehicle during the morning shift, journey plan was not reviewed. The driver lost control on a wet bend. The deviation was identified early, before anyone was exposed to serious harm. The driver stopped and reported the near miss.",No,0.895,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,reversing alarm was not working,Low
SYN-0168,2025-08-21,Duliajan,Duliajan — Main Gate,Safety Observation,Confined Space — cleaning a storage tank,"During cleaning a storage tank during a routine maintenance task, rescue plan was not briefed. A worker reported dizziness inside the vessel. The condition created a credible potential for a fatal or permanently disabling event. The entrant exited immediately and medical support was alerted.",Yes,0.876,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,High
SYN-0169,2024-11-23,Duliajan,Digboi — Tank Farm,Near Miss,Energy Isolation — valve replacement,"During valve replacement during a routine maintenance task, lockout/tagout not verified. The pump unexpectedly started. The condition created a credible potential for a fatal or permanently disabling event. The line was depressurized before work resumed.",Yes,0.961,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,incorrect isolation point,High
SYN-0170,2024-03-15,Bongaigaon,Naharkatiya — Main Gate,Safety Observation,Line of Fire — handling a pressurized hose,"During loosening a seized flange while preparing the job, spotter communication was unclear. The flange shifted suddenly toward the worker. The condition created a credible potential for a fatal or permanently disabling event. The crew stepped back and reassessed the task.",Yes,0.967,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,High
SYN-0171,2024-07-22,Bongaigaon,Bongaigaon — Main Gate,Hazard Report,Confined Space — cleaning a storage tank,"During cleaning a storage tank during a routine maintenance task, entry permit was incomplete. A worker reported dizziness inside the vessel. The condition created a credible potential for a fatal or permanently disabling event. Ventilation was increased and the permit was reviewed.",Yes,0.846,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,continuous gas monitoring was unavailable,High
SYN-0172,2024-12-04,Bongaigaon,Naharkatiya — Pipeline Corridor,Hazard Report,Hot Work — grinding near the workshop,"During grinding near the workshop after a change in the work sequence, gas test not repeated. Nearby oily rags began to smoulder. The condition created a credible potential for a fatal or permanently disabling event. The fire watch raised the alarm and work was stopped.",Yes,0.786,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,combustibles not cleared from the work area,High
SYN-0173,2025-07-27,Naharkatiya,Duliajan — Tank Farm,Safety Observation,Confined Space — cleaning a storage tank,"During inspection inside a vessel during the morning shift, continuous gas monitoring was unavailable. Oxygen readings fell below the safe limit. The deviation was identified early, before anyone was exposed to serious harm. Ventilation was increased and the permit was reviewed.",No,0.86,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,continuous gas monitoring was unavailable,Medium
SYN-0174,2024-04-07,Geleki,Geleki — Workshop,Safety Observation,Confined Space — cleaning a storage tank,"During inspection inside a vessel during a routine maintenance task, entry permit was incomplete. The attendant lost radio contact with the entrant. The deviation was identified early, before anyone was exposed to serious harm. The entrant exited immediately and medical support was alerted.",No,0.793,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,Low
SYN-0175,2024-06-04,Digboi,Digboi — Tank Farm,Near Miss,Line of Fire — loosening a seized flange,"During loosening a seized flange while preparing the job, stored energy was not assessed. A suspended load swung across the access route. The deviation was identified early, before anyone was exposed to serious harm. The crew stepped back and reassessed the task.",No,0.928,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,exclusion zone was not maintained,Low
SYN-0176,2024-12-29,Bongaigaon,Bongaigaon — Tank Farm,Near Miss,Working at Height — accessing a tank roof,"During installing cable tray at height after a change in the work sequence, scaffold inspection tag was missing. A tool fell to the level below. The deviation was identified early, before anyone was exposed to serious harm. The supervisor arranged a scaffold inspection.",No,0.746,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,harness was not attached to an anchor,Low
SYN-0177,2024-07-27,Duliajan,Geleki — Workshop,Safety Observation,Energy Isolation — pump maintenance,"During compressor servicing during the morning shift, missing zero-energy test. The pump unexpectedly started. The deviation was identified early, before anyone was exposed to serious harm. The supervisor initiated a toolbox talk.",No,0.75,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,incorrect isolation point,Low
SYN-0178,2025-04-12,Bongaigaon,Naharkatiya — Tank Farm,Hazard Report,Working at Height — accessing a tank roof,"During installing cable tray at height during the morning shift, harness was not attached to an anchor. A tool fell to the level below. The deviation was identified early, before anyone was exposed to serious harm. Work stopped until a certified access system was provided.",No,0.825,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,harness was not attached to an anchor,Low
SYN-0179,2024-04-08,Geleki,Naharkatiya — Process Unit,Near Miss,Line of Fire — moving materials beside a pipe rack,"During loosening a seized flange during the morning shift, spotter communication was unclear. The flange shifted suddenly toward the worker. The condition created a credible potential for a fatal or permanently disabling event. The area was barricaded before continuing.",Yes,0.836,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,stored energy was not assessed,High
SYN-0180,2025-01-10,Bongaigaon,Digboi — Tank Farm,Hazard Report,Lifting Operations — relocating a chemical drum,"During lifting a pump motor during the morning shift, lifting plan was not followed. A sling strand began to separate. The deviation was identified early, before anyone was exposed to serious harm. The load was lowered to a safe position.",No,0.822,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,Medium
SYN-0181,2025-05-28,Naharkatiya,Naharkatiya — Pipeline Corridor,Near Miss,Driving / Vehicle Safety — reversing a service vehicle,"During transporting equipment on an access road while preparing the job, reversing alarm was not working. The vehicle nearly struck a pedestrian at the gate. The deviation was identified early, before anyone was exposed to serious harm. The vehicle was removed from service for inspection.",No,0.839,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,journey plan was not reviewed,Low
SYN-0182,2025-10-27,Naharkatiya,Duliajan — Pipeline Corridor,Hazard Report,Working at Height — installing cable tray at height,"During accessing a tank roof during the morning shift, harness was not attached to an anchor. A tool fell to the level below. The deviation was identified early, before anyone was exposed to serious harm. The dropped-object zone was cleared.",No,0.84,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,toe board was not installed,Low
SYN-0183,2024-11-11,Bongaigaon,Bongaigaon — Tank Farm,Near Miss,Line of Fire — loosening a seized flange,"During moving materials beside a pipe rack while preparing the job, spotter communication was unclear. The flange shifted suddenly toward the worker. The deviation was identified early, before anyone was exposed to serious harm. The lifting activity was paused for a new briefing.",No,0.767,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,Low
SYN-0184,2025-09-09,Naharkatiya,Bongaigaon — Main Gate,Safety Observation,Lifting Operations — loading a valve assembly,"During relocating a chemical drum while preparing the job, sling inspection was overdue. A sling strand began to separate. The deviation was identified early, before anyone was exposed to serious harm. The route was cleared and barricaded.",No,0.842,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,Medium
SYN-0185,2025-07-15,Bongaigaon,Digboi — Process Unit,Safety Observation,Confined Space — inspection inside a vessel,"During cleaning a storage tank during the morning shift, rescue plan was not briefed. Oxygen readings fell below the safe limit. The deviation was identified early, before anyone was exposed to serious harm. The entrant exited immediately and medical support was alerted.",No,0.804,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,Medium
SYN-0186,2025-08-31,Geleki,Bongaigaon — Pipeline Corridor,Hazard Report,Hot Work — welding on a process pipe,"During grinding near the workshop during a routine maintenance task, gas test not repeated. Sparks travelled toward an open drain. The condition created a credible potential for a fatal or permanently disabling event. The fire watch raised the alarm and work was stopped.",Yes,0.794,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,gas test not repeated,High
SYN-0187,2025-12-01,Digboi,Naharkatiya — Process Unit,Safety Observation,Confined Space — inspection inside a vessel,"During inspection inside a vessel during the morning shift, continuous gas monitoring was unavailable. The attendant lost radio contact with the entrant. The condition created a credible potential for a fatal or permanently disabling event. The standby rescue team secured the area.",Yes,0.962,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,entry permit was incomplete,High
SYN-0188,2025-03-10,Duliajan,Digboi — Workshop,Safety Observation,Energy Isolation — compressor servicing,"During compressor servicing during a routine maintenance task, lockout/tagout not verified. A valve was still connected to the live header. The condition created a credible potential for a fatal or permanently disabling event. The technician stopped work and isolated the equipment.",Yes,0.929,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,missing zero-energy test,High
SYN-0189,2024-09-24,Digboi,Bongaigaon — Tank Farm,Near Miss,Line of Fire — loosening a seized flange,"During handling a pressurized hose during the morning shift, exclusion zone was not maintained. A suspended load swung across the access route. The condition created a credible potential for a fatal or permanently disabling event. The crew stepped back and reassessed the task.",Yes,0.94,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,exclusion zone was not maintained,High
SYN-0190,2025-10-29,Duliajan,Naharkatiya — Workshop,Near Miss,Confined Space — cleaning a storage tank,"During entry into a sump after a change in the work sequence, rescue plan was not briefed. A worker reported dizziness inside the vessel. The deviation was identified early, before anyone was exposed to serious harm. The standby rescue team secured the area.",No,0.844,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,continuous gas monitoring was unavailable,Medium
